书名,链接,国家,作者,翻译者,出版社,出版时间,价格,星级,评分,评价人数,简介
一个陌生女人的来信,https://book.douban.com/subject/2154960/,奥,斯蒂芬·茨威格, 张玉书 , 上海译文出版社 ,2007, 20.00,4.5,8.7,134196,暗恋的极致
國史大綱（上下）,https://book.douban.com/subject/1046492/,中,錢穆 , , 商务印书馆 ,2013, 76.00,4.5,9.4,14723,钱穆中国通史
故事,https://book.douban.com/subject/25976544/,美,罗伯特·麦基, 周铁东 , 天津人民出版社 ,2014, 68.00,4.5,9.2,16258,材质、结构、风格和银幕剧作的原理
茶馆,https://book.douban.com/subject/1036613/,中,老舍 , , 人民文学出版社 ,2002, 9.80,4.5,9.1,25937,清末、民初、抗战胜利以后三个历史时期的北京生活风貌
绿毛水怪,https://book.douban.com/subject/3518332/,中,王小波 , , 时代文艺出版社 ,2009, 30.00,4.5,9.1,21504,我们好象在池塘的水底，从一个月亮走向另一个月亮
桶川跟踪狂杀人事件,https://book.douban.com/subject/35094680/,日,清水洁, 王华懋 , 四川人民出版社 ,2021, 45.00,4.5,9,28232,无
人间草木,https://book.douban.com/subject/1253310/,中,汪曾祺 , , 江苏文艺出版社 ,2005, 20.00,4.5,9.2,26072,我就是要这样香，香得痛痛快快
经济学原理（上下）,https://book.douban.com/subject/1028842/,美,曼昆, 梁小民 , 机械工业出版社 ,2003, 88.00,4.5,9.1,20254,经济学家们的世界观
面纱,https://book.douban.com/subject/10560798/,中,(英)W.萨默塞特·毛姆 , , 重庆出版社 ,2012, 32.00,4.5,8.8,66836,揭去生活的面纱
海的女儿,https://book.douban.com/subject/1765512/,中,安徒生 , , 上海译文出版社 ,1978, 0.43,4.5,9.1,19542,无
苏菲的世界,https://book.douban.com/subject/2284311/,挪,乔斯坦·贾德, 萧宝森 , 作家出版社 ,2007, 26.00,4.5,8.8,51976,哲学启蒙书
万水千山走遍,https://book.douban.com/subject/1036490/,中,三毛 , , 哈尔滨出版社 ,2003, 13.80,4.5,8.8,42766,从遥远的撒哈拉到敦煌戈壁
阿勒泰的角落,https://book.douban.com/subject/4881850/,中,李娟 , , 万卷出版公司 ,2010, 25.00,4.5,9.1,17639,白雪和阳光，青草和白桦林
全球通史(上),https://book.douban.com/subject/1922216/,美,斯塔夫里阿诺斯, 吴象婴 , 北京大学出版社 ,2006, 42.00,4.5,9.2,15682,无
爱的艺术,https://book.douban.com/subject/3026879/,美,艾·弗洛姆, 李健鸣 , 上海译文出版社 ,2008, 15.00,4.5,8.8,41641,谦恭地、勇敢地、真诚地和有纪律地爱他人
史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,美,沃尔特·艾萨克森, 管延圻 , 中信出版社 ,2011, 68.00,4.5,8.7,56953,完美主义者的最高形态
我的天才女友,https://book.douban.com/subject/26878124/,意,埃莱娜·费兰特, 陈英 , 人民文学出版社 ,2017, 42.00,4.5,8.7,92455,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争
德米安,https://book.douban.com/subject/3578470/,德,赫尔曼·黑塞, 丁君君 , 上海人民出版社 ,2009, 25.00,4.5,8.9,29087,少年辛克莱寻找通向自身之路的艰辛历程
温柔的夜,https://book.douban.com/subject/2068249/,中,三毛 , , 北京十月文艺出版社 ,2007, 28.00,4.5,9.1,21280,三毛在加纳利群岛的生活
不能承受的生命之轻,https://book.douban.com/subject/4920007/,中,米兰·昆德拉 , , 上海译文出版社 ,2010, 29.00,4.5,8.8,41668,无
霸王别姬,https://book.douban.com/subject/1088711/,中,李碧华 , , 人民文学出版社 ,1999, 10.20,4.5,9.1,19795,人间，只是抹去了脂粉的脸
长日将尽,https://book.douban.com/subject/30142261/,英,石黑一雄, 冯涛 , 上海译文出版社 ,2018, 48,4.5,8.9,26909,无
13 67,https://book.douban.com/subject/25897884/,中,陳浩基 , , 皇冠文化出版有限公司 ,2014, NT$350,4.5,9.2,16057,无
我也有一个梦想,https://book.douban.com/subject/1014825/,中,林达 , , 生活·读书·新知三联书店 ,2004, 25.00,4.5,9,15031,在法治国家里，民众怎样运用法律
球状闪电,https://book.douban.com/subject/1192090/,中,刘慈欣 , , 四川科学技术出版社 ,2005, 22.00,4.5,8.7,74338,量子之外，没有真相
古文观止,https://book.douban.com/subject/1014561/,中,吴楚材 , , 中华书局 ,1987, 21.00,4.5,9.1,17508,收录自先秦至明末的散文二百二十二篇
亮剑,https://book.douban.com/subject/1088022/,中,都梁 , , 解放军文艺出版社 ,2005, 28.00,4.5,9,27144,面对强大的对手，明知不敌，也要毅然亮剑
少年凯歌,https://book.douban.com/subject/1091203/,中,陈凯歌 , , 人民文学出版社 ,2001, 10.00,4.5,9.3,10860,无
社会心理学,https://book.douban.com/subject/1476651/,美,戴维·迈尔斯, 张智勇 , 人民邮电出版社 ,2006, 68.00,4.5,9,24390,人们是如何思索、影响他人并与他人建立联系的
我的阿勒泰,https://book.douban.com/subject/4884218/,中,李娟 , , 云南人民出版社 ,2010, 22.00,4.5,8.9,24278,描写疆北阿勒泰地区生活和风情的原生态散文集
一句顶一万句,https://book.douban.com/subject/3633461/,中,刘震云 , , 长江文艺出版社 ,2009, 29.80,4.5,8.7,57819,一句胜过千年
我不知道该说什么，关于死亡还是爱情,https://book.douban.com/subject/25884880/,白俄,S·A·阿列克谢耶维奇, 方祖芳 , 花城出版社 ,2014, 34.80,4.5,9.1,18236,真实记录切尔诺贝利核灾难事件
海风中失落的血色馈赠,https://book.douban.com/subject/26357614/,加拿大,阿利斯泰尔·麦克劳德, 陈以侃 , 上海文艺出版社 ,2015,  20.00,4.5,9.1,17106,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟
倾城之恋,https://book.douban.com/subject/1985223/,中,张爱玲 , , 北京十月文艺出版社 ,2006, 29.80,4.5,8.7,47944,“一对平凡的夫妻”之间的“一点真心”
孩子你慢慢来,https://book.douban.com/subject/4207781/,中,龙应台 , , 生活·读书·新知三联书店 ,2009, 28.00,4.5,8.7,75259,我们现在怎样做母亲
麦琪的礼物,https://book.douban.com/subject/1051193/,美,欧·亨利, 张经浩 , 上海社会科学院出版社 ,2003, 25.00,4.5,8.7,70874,日常的奇迹
遥远的向日葵地,https://book.douban.com/subject/27184303/,中,李娟 , , 花城出版社 ,2017, 38.00,4.5,9.1,18734,无
天朝的崩溃,https://book.douban.com/subject/1675478/,中,茅海建 , , 生活·读书·新知三联书店 ,2005, 32.00,4.5,9.1,13508,鸦片战争再研究
强风吹拂,https://book.douban.com/subject/26210487/,中,三浦紫苑 , , 广西师范大学出版社 ,2015, 39.00,4.5,9,20464,明明这么痛苦，这么难过，为什么就是不能放弃跑步？
浮生六记,https://book.douban.com/subject/1088581/,中,（清）沈复 , , 人民文学出版社 ,1999, 38,4.5,8.8,64365,苟不记之笔墨，未免有辜彼苍之厚
草房子,https://book.douban.com/subject/1052990/,中,曹文轩 , , 江苏少年儿童出版社 ,2009, 18.00,4.5,9,42471,男孩桑桑刻骨铭心、终身难忘的六年小学生活
万物有灵且美,https://book.douban.com/subject/4187411/,英,吉米·哈利, 种衍伦 , 中国城市出版社 ,2010, 28.80,4.5,8.9,21479,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事
送你一颗子弹,https://book.douban.com/subject/4238362/,中,刘瑜 , , 上海三联书店 ,2010, 25.00,4.5,8.6,138411,在这本书里，被“审视”的东西杂七杂八
渴望生活,https://book.douban.com/subject/3054821/,美,欧文·斯通, 常涛 , 北京十月文艺出版社 ,2008, 29.80,4.5,9.2,11007,梵高悲惨而成就辉煌的人生
九州·缥缈录,https://book.douban.com/subject/1321017/,中,江南 , , 新世界出版社 ,2005, 20.00,4.5,8.8,30257,乱世的英雄史诗
尼罗河上的惨案,https://book.douban.com/subject/1818347/,英,阿加莎·克里斯蒂, 宫英海 , 人民文学出版社 ,2006, 22.00,4.5,8.7,45338,阿加莎·克里斯蒂代表作
情书,https://book.douban.com/subject/1080370/,日,岩井俊二, 穆晓芳 , 天津人民出版社 ,2004, 18.00,4.5,8.6,101515,一场同名同姓的误会，两段可贵的爱情
鹿川有许多粪,https://book.douban.com/subject/35517022/,中,李沧东 , , 武汉大学出版社 ,2021, 58.00,4.5,9,17482,无
恶意,https://book.douban.com/subject/26877752/,日,东野圭吾, 娄美莲 , 南海出版公司 ,2016, 39.50,4.5,8.7,87115,无
半生缘,https://book.douban.com/subject/1963684/,中,张爱玲 , , 北京十月文艺出版社 ,2006, 28.00,4.5,8.6,79019,世钧，我们回不去了
野火集,https://book.douban.com/subject/1426971/,中,龙应台 , , 文汇出版社 ,2005, 25.00,4.5,8.8,33919,中国人，你为什么不生气
安娜·卡列尼娜,https://book.douban.com/subject/2253380/,俄,列夫·托尔斯泰, 草婴 , 上海文艺出版社 ,2007, 37.00,4.5,9.2,22100,无
罗生门,https://book.douban.com/subject/3136271/,日,芥川龙之介, 林少华 , 上海译文出版社 ,2008, 12.00,4.5,8.7,63393,人生，远比地狱更像地狱
银河系漫游指南,https://book.douban.com/subject/1394364/,英,道格拉斯·亚当斯, 徐百柯 , 四川科学技术出版社 ,2005, 16.00,4.5,8.8,20727,一场穿越银河的冒险
一桩事先张扬的凶杀案,https://book.douban.com/subject/24382569/,哥伦比亚,加西亚·马尔克斯, 魏然 , 南海出版公司 ,2013, 25.00,4.5,8.7,38732,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯
倚天屠龙记,https://book.douban.com/subject/1070851/,中,金庸 , , 生活·读书·新知三联书店 ,1999, 47.00,4.5,8.7,57376,不识张郎是张郎
额尔古纳河右岸,https://book.douban.com/subject/3311253/,中,迟子建 , , 北京十月文艺出版社 ,2005, 29.00,4.5,9,21060,东北少数民族鄂温克人生存现状及百年沧桑
理想国,https://book.douban.com/subject/1004821/,古希腊,柏拉图, 郭斌和 , 商务印书馆 ,1986, 28.00,4.5,8.8,31709,人类历史上最早的乌托邦
2001：太空漫游,https://book.douban.com/subject/30471298/,英,阿瑟·克拉克, 郝明义 , 上海文艺出版社 ,2019, 62.00,4.5,9.3,15788,无
你好，旧时光（上 下）,https://book.douban.com/subject/4166819/,中,八月长安 , , 新世界出版社 ,2009, 39.80,4.5,8.7,45547,原作名切题
枪炮、病菌与钢铁,https://book.douban.com/subject/1813841/,美,贾雷德·戴蒙德, 谢延光 , 上海译文出版社 ,2006, 45.00,4.5,8.7,44987,人类社会的命运
雨季不再来,https://book.douban.com/subject/2136140/,中,三毛 , , 北京十月文艺出版社 ,2007, 28.00,4.5,8.7,51110,三毛少女时代的成长感受
一千零一夜,https://book.douban.com/subject/1035848/,中,纳训 , , 人民文学出版社 ,2003, 22.00,4.5,8.7,54610,阿拉伯地区的古代民间传说
孙子兵法,https://book.douban.com/subject/1949420/,中,孙武 , , 上海古籍出版社 ,2006, 20.00,4.5,9.4,11651,我国最古老最杰出的一部兵书
雷雨,https://book.douban.com/subject/1013416/,中,曹禺 , , 人民文学出版社 ,1999, 9.20,4.5,8.7,73159,一幕人生大悲剧，在一个雷雨夜爆发
激荡三十年,https://book.douban.com/subject/3151575/,中,吴晓波 , , 中信出版社 ,2008, 32.00,4.5,8.6,16941,中国企业1978—2008
目送,https://book.douban.com/subject/3995526/,中,龙应台 , , 生活·读书·新知三联书店 ,2009, 39.00,4.5,8.6,204886,不必追
冰与火之歌,https://book.douban.com/subject/25826936/,中,乔治·马丁 , , 重庆出版社 ,2013, 330.00,5,9.5,14955,乔治·R·R·马丁史诗奇幻小说
解忧杂货店,https://book.douban.com/subject/25862578/,日,东野圭吾, 李盈春 , 南海出版公司 ,2014, 39.50,4.5,8.5,724362,现代人内心流失的东西，这家杂货店能帮你找回
亲爱的安德烈,https://book.douban.com/subject/3369793/,中,龙应台 , , 人民文学出版社 ,2008, 26.00,4.5,8.6,117680,弭平代沟，跨越文化阻隔
最好的我们,https://book.douban.com/subject/24754316/,中,八月长安 , , 湖南文艺出版社 ,2013, 55,4.5,8.7,67876,耿耿余淮
水浒传（全二册）,https://book.douban.com/subject/1008357/,中,施耐庵, 人民文学出版社 , 人民文学出版社 ,1997, 50.60,4.5,8.7,70487,替天行道
银河帝国：基地七部曲,https://book.douban.com/subject/26389895/,美,艾萨克·阿西莫夫, 叶李华 , 江苏凤凰文艺出版社 ,2015, 328.00,5,9.5,12083,阿西莫夫经典科幻小说
论语,https://book.douban.com/subject/1964774/,中,刘胜利 , , 中华书局 ,2006, 9.80,4.5,9.1,20623,仁远乎哉？我欲仁，斯仁至矣
当呼吸化为空气,https://book.douban.com/subject/26896859/,美,保罗·卡拉尼什, 何雨珈 , 浙江文艺出版社 ,2016, 48.00,4.5,8.9,24698,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气
上学记,https://book.douban.com/subject/1859140/,中,何兆武 口述 , , 生活·读书·新知三联书店 ,2006, 19.80,4.5,8.9,13562,20世纪中国知识分子的心灵史
顾城的诗,https://book.douban.com/subject/1033825/,中,顾城 , , 人民文学出版社 ,1998, 20.00,4.5,8.8,24052,火焰是我们诗歌唯一的读者
认识电影,https://book.douban.com/subject/2326403/,美,路易斯·贾内梯, 焦雄屏 , 世界图书出版公司 ,2007, 68.00,4.5,8.9,17365,电影入门经典之作
天生有罪,https://book.douban.com/subject/30125030/,南非,特雷弗·诺亚, 董帅 , 北京联合出版公司 ,2018, 58.00,4.5,9.1,14994,无
总统是靠不住的,https://book.douban.com/subject/1056315/,中,林达 , , 生活·读书·新知三联书店 ,2004, 21.80,4.5,8.8,19830,美国政治法律制度的基本原理和操作细节
你一生的故事,https://book.douban.com/subject/26295448/,美,特德·姜, 李克勤 , 译林出版社 ,2015, 36.00,4.5,8.7,31358,特德·姜科幻小说集
荒原狼,https://book.douban.com/subject/3131626/,德,赫尔曼·黑塞, 赵登荣 , 上海译文出版社 ,2008, 13.00,4.5,9,18341,“超现实主义”风格作品，德国的《尤利西斯》
众病之王,https://book.douban.com/subject/20507206/,美,悉达多·穆克吉, 李虎 , 中信出版社 ,2013, 42.00,4.5,9.1,11857,癌症传
荆棘鸟,https://book.douban.com/subject/1086249/,澳,考琳·麦卡洛, 曾胡 , 译林出版社 ,1998, 28.00,4.5,8.6,50402,澳洲乱世情
象棋的故事,https://book.douban.com/subject/2158684/,奥,斯蒂芬·茨威格, 张玉书 , 上海译文出版社 ,2007, 23.00,4.5,9.1,11562,纳粹法西斯对人心灵的折磨及摧残
从一到无穷大,https://book.douban.com/subject/1102715/,美,G.伽莫夫, 暴永宁 译 , 科学出版社 ,2002, 29.00,4.5,9.1,12843,科学中的事实和臆测
雕刻时光,https://book.douban.com/subject/26435510/,苏,安德烈·塔可夫斯基, 张晓东 , 南海出版公司 ,2016, 45.00,5,9.5,6784,无
现代艺术150年,https://book.douban.com/subject/26854318/,英,威尔·贡培兹, 王烁 , 广西师范大学出版社 ,2017, 65.00,4.5,9.2,12156,无
庄子,https://book.douban.com/subject/2046236/,中,孙通海 译注 , , 中华书局 ,2007, 20.00,4.5,9.4,10002,野马也，尘埃也，生物之以息相吹也
火星救援,https://book.douban.com/subject/26586492/,美,安迪·威尔, 陈灼 , 译林出版社 ,2015, 38.00,4.5,8.9,17236,跟火星来一场不是你死就是我活的过家家游戏
从零开始的女性主义,https://book.douban.com/subject/35523099/,日本,上野千鹤子, 吕灵芝 , 北京联合出版公司 ,2021, 52.00,4.5,8.7,38110,无
青铜时代,https://book.douban.com/subject/1085883/,中,王小波 , , 花城出版社 ,1997, 29.00,4.5,8.8,25024,唐人传奇贯注现代情趣
繁花,https://book.douban.com/subject/22714154/,中,金宇澄 , , 上海文艺出版社 ,2013, 48.00,4.5,8.7,30561,海上繁花，请静观静读
正见,https://book.douban.com/subject/1963912/,中,宗萨蒋扬钦哲仁波切 , , 中国友谊出版公司 ,2007, 25.00,4.5,8.8,16627,佛陀的证悟
香水,https://book.douban.com/subject/3815125/,德,帕·聚斯金德, 李清华 , 上海译文出版社 ,2009, 25.00,4.5,8.9,19090,无
中国哲学简史,https://book.douban.com/subject/1021273/,中,冯友兰 , , 新世界出版社 ,2004, 38.00,4.5,8.9,18623,中国哲学入门书
毛姆短篇小说精选集,https://book.douban.com/subject/10774752/,英,威廉·萨默塞特·毛姆, 冯亦代 , 译林出版社 ,2012, 36.00,4.5,9.1,11397,在各种光怪陆离的场景中，迷失的人性引发了一连串的悲剧
规训与惩罚,https://book.douban.com/subject/1012307/,法,米歇尔·福柯, 刘北成 , 生活·读书·新知三联书店 ,2003, 21.80,4.5,9.3,9185,伴随着惩罚的人性化，自由反而日益丧失了
此生未完成,https://book.douban.com/subject/6397275/,中,于娟 , , 湖南科学技术出版社 ,2011, 26.00,4.5,8.8,21540,一个母亲、妻子、女儿的生命日记
骆驼祥子,https://book.douban.com/subject/1043815/,中,老舍 , , 人民文学出版社 ,2000, 12.00,4.5,8.6,188256,旧中国老北京贫苦市民的典型命运
金锁记,https://book.douban.com/subject/3017857/,中,张爱玲 , , 哈尔滨出版社 ,2005, 13.5,4.5,8.6,58647,一个小商人家庭出身的女子曹七巧的心灵变迁历程
二手时间,https://book.douban.com/subject/26704403/,白俄,S.A.阿列克谢耶维奇, 吕宁思 , 中信出版社 ,2016, 55.00,4.5,8.9,20277,用最为细小的马赛克拼出了一幅完整的后苏联时代图景
不存在的骑士,https://book.douban.com/subject/6789551/,意,伊塔洛·卡尔维诺, 吴正仪 , 译林出版社 ,2012, 22.00,4.5,8.9,17576,无
了不起的盖茨比,https://book.douban.com/subject/10738023/,美,斯科特·菲茨杰拉德, 邓若虚 , 南海出版公司 ,2012, 25.00,4.5,8.7,46186,无
如彗星划过夜空,https://book.douban.com/subject/1762869/,中,林达 , , 生活·读书·新知三联书店 ,2006, 21.00,4.5,8.9,11088,无
夏洛的网,https://book.douban.com/subject/1036274/,美,E.B.怀特, 任溶溶 , 上海译文出版社 ,2004, 17.00,4.5,8.6,64896,一个蜘蛛和小猪的故事，写给孩子，也写给大人
黑客与画家,https://book.douban.com/subject/6021440/,美,PaulGraham, 阮一峰 , 人民邮电出版社 ,2011, 49.00,4.5,8.7,22035,硅谷创业之父Paul Graham文集
民主的细节,https://book.douban.com/subject/3813669/,中,刘瑜 , , 上海三联书店 ,2009, 25.00,4.5,8.5,74179,公民养成手册
哈姆莱特,https://book.douban.com/subject/1006197/,英,莎士比亚, 朱生豪 , 人民文学出版社 ,2001, 7.00,4.5,8.7,45153,生存还是毁灭，这是一个值得思考的问题
消失的13级台阶,https://book.douban.com/subject/34996429/,日,高野和明, 赵建勋 , 上海文艺出版社 ,2020, 42.00,4.5,8.6,68165,无
步履不停,https://book.douban.com/subject/26963321/,日,是枝裕和, 郑有杰 , 北京联合出版公司 ,2017, 36.80,4.5,8.7,36914,人生路上，步履不停，总有那么一点来不及
东晋门阀政治,https://book.douban.com/subject/10758290/,中,田余庆 , , 北京大学出版社 ,2012, 49.00,5,9.5,8557,无
时间的秩序,https://book.douban.com/subject/33424487/,意,卡洛·罗韦利, 杨光 , 湖南科学技术出版社 ,2019, 56.00,4.5,8.9,18382,无
黑箱,https://book.douban.com/subject/30484795/,日,伊藤诗织, 匡匡 ,中信出版集团 ,2019, 48.00,4.5,8.9,18614,无
张爱玲文集,https://book.douban.com/subject/1004992/,中,张爱玲 , , 安徽文艺出版社 ,1992, 45,4.5,8.9,15025,无
牡丹亭,https://book.douban.com/subject/1073708/,中,汤显祖 , , 人民文学出版社 ,1963, 14.50,4.5,9,12780,不到园林，怎知春色如许
被讨厌的勇气,https://book.douban.com/subject/26369699/,中,岸见一郎 , , 机械工业出版社 ,2015, 39.8,4.5,8.6,100867,无
会饮篇,https://book.douban.com/subject/21570668/,古希腊,柏拉图, 王太庆 , 商务印书馆 ,2013, 12.00,4.5,9.3,8898,无
稻草人手记,https://book.douban.com/subject/3607117/,中,三毛 , , 北京十月文艺出版社 ,2009, 18.00,4.5,8.9,18929,三毛在加纳利群岛上的生活
社会契约论,https://book.douban.com/subject/1277981/,法,卢梭, 何兆武 , 商务印书馆 ,2003, 18.00,4.5,8.9,17976,一个国家只能有一个契约
社会性动物,https://book.douban.com/subject/2328458/,中,埃利奥特·阿伦森Elliot Aronson , , 华东师范大学出版社 ,2007, 45.00,4.5,9.1,12974,美国社会心理学的《圣经》
分成两半的子爵,https://book.douban.com/subject/10555486/,意,伊塔洛·卡尔维诺, 吴正仪 , 译林出版社 ,2012, 20.00,4.5,8.8,19904,无
狂热分子,https://book.douban.com/subject/3057556/,美,埃里克·霍弗, 梁永安 , 广西师范大学出版社 ,2011, 34.00,4.5,8.8,14027,探讨群众运动的共有特征
显微镜下的大明,https://book.douban.com/subject/30414743/,中,马伯庸 , , 湖南文艺出版社 ,2019, 52.00,4.5,8.8,26498,无
牧羊少年奇幻之旅,https://book.douban.com/subject/3608208/,巴西,保罗·柯艾略, 丁文林 , 南海出版公司 ,2009, 25.00,4.5,8.5,149735,你自己就是最大的宝藏
金阁寺,https://book.douban.com/subject/3391248/,日,三岛由纪夫, 唐月梅 , 上海译文出版社 ,2009, 24.00,4.5,8.7,32251,他的犯罪动机是对美的嫉妒
